,Date,Country,Price,Year,Month,Week
501,2012-02-06,BE,328.46,2012,2,6
502,2012-02-13,BE,328.6,2012,2,7
503,2012-02-20,BE,329.82,2012,2,8
504,2012-02-27,BE,329.17,2012,2,9
505,2012-03-05,BE,330.4,2012,3,10
506,2012-03-12,BE,329.62,2012,3,11
507,2012-03-19,BE,329.23,2012,3,12
508,2012-03-26,BE,330.12,2012,3,13
509,2012-04-02,BE,330.47,2012,4,14
510,2012-04-09,BE,333.38,2012,4,15
511,2012-04-16,BE,334.43,2012,4,16
512,2012-04-23,BE,335.21,2012,4,17
513,2012-04-30,BE,334.15,2012,4,18
514,2012-05-07,BE,334.58,2012,5,19
515,2012-05-14,BE,334.33,2012,5,20
516,2012-05-21,BE,335.43,2012,5,21
517,2012-05-28,BE,339.65,2012,5,22
518,2012-06-04,BE,336.9,2012,6,23
519,2012-06-11,BE,337.52,2012,6,24
520,2012-06-18,BE,339.01,2012,6,25
521,2012-06-25,BE,338.94,2012,6,26
522,2012-07-02,BE,339.09,2012,7,27
523,2012-07-09,BE,338.34,2012,7,28
524,2012-07-16,BE,338.78,2012,7,29
525,2012-07-23,BE,342.47,2012,7,30
526,2012-07-30,BE,345.94,2012,7,31
527,2012-08-06,BE,347.54,2012,8,32
528,2012-08-13,BE,347.92,2012,8,33
529,2012-08-20,BE,349.77,2012,8,34
530,2012-08-27,BE,353.25,2012,8,35
531,2012-09-03,BE,353.99,2012,9,36
532,2012-09-10,BE,356.13,2012,9,37
533,2012-09-17,BE,355.79,2012,9,38
534,2012-09-24,BE,354.8,2012,9,39
535,2012-10-01,BE,354.14,2012,10,40
536,2012-10-08,BE,354.18,2012,10,41
537,2012-10-15,BE,354.51,2012,10,42
538,2012-10-22,BE,352.76,2012,10,43
539,2012-10-29,BE,352.81,2012,10,44
540,2012-11-05,BE,351.07,2012,11,45
541,2012-11-12,BE,350.17,2012,11,46
542,2012-11-19,BE,350.18,2012,11,47
543,2012-11-26,BE,351.64,2012,11,48
544,2012-12-03,BE,353.45,2012,12,49
545,2012-12-10,BE,354.42,2012,12,50
546,2012-12-17,BE,354.52,2012,12,51
547,2012-12-24,BE,354.64,2012,12,52
548,2012-12-31,BE,354.64,2012,12,1
549,2013-01-07,BE,355.12,2013,1,2
